mahadevan_number,tamil_phoneme,hypothesis,source
1,க,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
2,"ரகர், கரர், காரர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
3,"க், கர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
4,கண்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
5,கண்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
6,கி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
7,கீ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
8,கய்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
9,கய்ட்ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
10,கா,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
11,கற்ற,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
12,"காவ்ெ,காெல்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
13,காவ்ெர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
14,காவ்ென்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
15,ஆகாவ்ெ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
17,தெ (தெம்),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
18,கா,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
19,கண(கண்ண),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
20,கண்ணர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
21,கய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
22,கண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
23,கரி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
24,ரிகரி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
25,கர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
26,"கரர், காரர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
27,கட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
28,கம,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
29,"மகம, கமகம",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
30,கம,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
31,கவ்ெ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
32,கவ் (வகௌ),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
33,அகெ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
34,கய்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
35,கண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
36,கச,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
37,கமண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
38,"கண்,கண்ண",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
39,"வக, கக",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
40,"கண,கண்ண",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
41,"கர், கர",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
42,தெகதெ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
43,கண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
47,"ெர, ெர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
48,ளார்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
49,முக',VPS2024,Indus_Signs_Reading.pdf (author direct upload)
50,"""ணாய்""",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
51,'கதளணஅ',VPS2024,Indus_Signs_Reading.pdf (author direct upload)
52,'கதளனர்',VPS2024,Indus_Signs_Reading.pdf (author direct upload)
53,ம,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
57,'எறம்ப' = எருமம,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
58,தெ (early form),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
59,"ள், ள",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
60,"ளம்,ளன்,ளல்,ளர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
61,"நலம்,நலன்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
62,ட்டள்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
63,மயிலட்டள்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
64,மயிலட்டள்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
65,"இள, இளம்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
66,"இளம், இல்லம்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
67,லா,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
68,"லாம்,லான்,லால்,லார்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
69,லி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
70,ழ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
71,"ழம்,ழன்,ழல்,ழர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
72,ல,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
73,"லம்.லன்.லல்,லர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
74,லி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
75,இலி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
76,ககாழி (ககாழியூர்),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
78,மயில்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
79,மயில்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
80,மயில்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
81,மயிலட்ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
82,ெ அன்னம்=ெனம்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
84,கால் = காற்று,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
86,"ஒன்று,ஓர்,ஒ,ஓ,ர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
87,இரு. ஈர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
88,இரும்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
89,"மூன்று,மு,மூ",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
90,மூய=எருது,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
91,முரா=கமார்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
92,இமூ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
93,ஓரிரு,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
94,இருஓர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
95,"நான்கு,ந,நா",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
96,"அய்,அய்ந்து",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
97,ஓர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
98,கமற்ப்டி -ஒரு,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
99,கமற்படி- இரு,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
100,இரு,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
101,இரு,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
102,"மூன்று,மு,மூ",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
103,"மூன்று,மு,மூ",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
104,"நான்கு,ந,நா",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
105,"நான்கு,நா,ந",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
106,"அய்,அய்ந்து",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
107,"அய்,அய்ந்து",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
108,ஆறு,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
109,"ஆறு, நதி",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
110,"ஏழு, ஏ,எ",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
111,எழுட்ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
112,"ஏழு, ஏ,எ",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
113,எழுட்ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
114,"எட்டு, எண்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
115,வதாண்டு,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
116,வதாண்டு,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
117,வதாண்டுப,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
121,பன்னிரு,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
122,பன்னிருட்ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
123,"ட,த",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
124,த,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
125,த,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
126,த,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
127,ர,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
128,ரி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
129,ர,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
130,"ற்,ற",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
137,த,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
138,இத,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
139,பத,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
140,"தஅம்அம், தஅன்அன்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
141,இருத,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
142,இருதப,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
143,"இருதஅம் அம்(ன்,ல்,ர்)",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
144,இருதட்ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
145,இருதண்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
153,"ன,ன்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
155,"ன,ன்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
156,னட்ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
158,"தர், இன்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
159,இயன்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
160,"தண்ன,தன்ண",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
161,ன,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
162,"ய்,ய",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
163,இய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
164,"யஅம்அம்,(அன்,ல்,ர்)",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
167,ய்ய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
169,னி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
171,"ண,ணா",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
172,ணண்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
173,ண்ண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
175,ெய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
176,"ண்,ண,மண",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
177,ரீ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
182,பண்ணா,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
190,'கெலி'=நில அளமெ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
194,ஞான் (இளஞன்),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
197,ந,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
198,நண்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
204,ககாயில்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
205,"ண,ணய்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
206,ககாயில்ண்[ண],VPS2024,Indus_Signs_Reading.pdf (author direct upload)
207,ககாயிலண்ணல்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
209,ககாயில்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
210,ககாயில்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
211,"ன்,ன",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
212,"பன்,பன",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
213,யன்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
214,"ச்,ச",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
215,ஈசா,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
216,ச,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
217,ச்ச,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
219,சி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
220,"சிெம்,சிென்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
221,சா,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
222,சா,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
223,சங்ங,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
224,சங்கரா (வெண்மம),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
225,"ச,ச்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
226,சி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
227,சரி,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
228,சச்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
229,ஈ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
230,'மலய்',VPS2024,Indus_Signs_Reading.pdf (author direct upload)
231,'மலயமலய்',VPS2024,Indus_Signs_Reading.pdf (author direct upload)
232,"""மலய் அரச'",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
233,"மு, மூ",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
235,மூய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
242,வதாழு,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
243,அ வதாழு,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
244,பண்ண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
245,'இட',VPS2024,Indus_Signs_Reading.pdf (author direct upload)
246,'இடர்',VPS2024,Indus_Signs_Reading.pdf (author direct upload)
249,ப,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
250,"பம்,பன்,பல்,பர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
251,பச,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
252,பண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
254,"ண, ணி",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
257,பண்ணய்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
258,பண்ணய்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
259,பண்ணய்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
261,ம,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
262,மய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
264,"தம,தம்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
266,மன,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
267,மீ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
270,மீய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
284,"தம், தமீ",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
285,"தமம்,தமன்,தமர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
286,தெதம்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
287,ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
288,ட்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
289,"டஅம்அம்(அன்,அல்,அர்)",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
290,டீ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
293,ட்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
294,ட்ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
295,டட்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
296,ட்ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
297,ட்டண்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
298,டட்டட்ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
299,ட,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
300,"ட்,டி",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
302,டர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
303,"ட்ட,டட்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
304,"ம,ம்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
305,வம,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
306,மீர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
307,ம,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
308,"மஅம்அம்(அன்,அல்,அர்)",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
309,ஈ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
311,'யாழ்',VPS2024,Indus_Signs_Reading.pdf (author direct upload)
321,"ெவ்,வ்ெ",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
322,"ெென்,வ்ென்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
323,அரச,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
324,அரசன,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
325,அரச,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
326,அரச,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
327,'அரச ண அ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
328,அ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
329,அவ்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
330,அமூ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
331,அன,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
340,அய் (old form),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
342,ஆ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
343,அய்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
344,அவ்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
345,ஆமூ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
347,ய்ய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
348,"யண்ண,ண்மண",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
349,ய்யர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
351,"யவ்ெ,ெவ்ய",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
352,"ஆய,யா",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
355,தெய்ய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
356,இதய்ய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
357,தய்ய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
358,ண்ண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
363,மன்ன,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
367,ெவ்யெ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
372,வ்ெவ்யய்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
373,ெ,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
381,"ெண்,ெண",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
382,ெண்ண,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
385,ென,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
387,ெய,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
388,ெயல்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
389,ென,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
390,ெனம்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
391,ட்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
392,தெஇருென்(ர்),VPS2024,Indus_Signs_Reading.pdf (author direct upload)
393,தெஅவ்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
402,ஆர்,VPS2024,Indus_Signs_Reading.pdf (author direct upload)
403,"வ்ெ,ெவ்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
404,"வ்ென்,வ்ெர்",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
3411,"பண்,பண",VPS2024,Indus_Signs_Reading.pdf (author direct upload)
