seal_id,hypothesis,tamil_script,phoneme_roman,morpheme_english,semantic_domain,translation_status,confidence,source
220,VPS2024,"சிவம், சிவன் (துணக்குறி = அம்,அன்,அல்,அர்)","chivam, chivan (thuNakkuRi = am,an,al,ar)",,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
232,VPS2024,மலை அரச,malai aracha,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
327,VPS2024,"அரசணஅ, அரசனின்","arachaNaa, arachanin",,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
342,VPS2024,"த ொழு, த ொழுவம்","tha ozhu, tha ozhuvam",,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
343,VPS2024,அ த ொழு = மொட்டுத் த ொழுவம்,a tha ozhu = mottuth tha ozhuvam,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1007,VPS2024,ஆறு (உலை)ய,aaRu (ulai)ya,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1008,VPS2024,க ொழி ஆர் இருளைொ வயமூன் (ஆர்=ஊர்),ka ozhi aar iruLaio vayamuun (aar=uur),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1010,VPS2024,வ வ ளொர் ண்ண ய் ஆ,va va Lor NNa y aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1028,VPS2024,ஓவண்ணளொர் ய் (உலைய) ஆ,oovaNNaLor y (ulaiya) aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1030,VPS2024,வயமூன் ஓர் ஆ ொவ்வ=பொற்பசுக் ொவைர்,vayamuun oor aa ovva=poRpachuk ovair,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1035,VPS2024,சி வண்(ணொ) ஆறு உலைய,chi vaN(No) aaRu ulaiya,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1045,VPS2024,"வய(ல்) ொவ்வன், வைிய ொவ்வன்","vaya(l) ovvan, vaiiya ovvan",Carer of cultivated field,agriculture,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1046,VPS2024,யொழ ன ண்ணொ,yozha na NNo,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1048,VPS2024,ய ய இருளன் (துலணக்குறி= அன்),ya ya iruLan (thulaNakkuRi= an),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1049,VPS2024,"வய க ொயிைண் பண "" ைொவ க ளண்ன ய்யொ ஆ","vaya ka oyiaiN paNa "" aiova ka LaNna yyo aa",,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1068,VPS2024,ண்(ண)ல் வ்யமூன் = அண்ணல் பொல்,N(Na)l vyamuun = aNNal pol,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1070,VPS2024,ஆமு ம ண்(ணொ),aamu ma N(No),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1076,VPS2024,வ வ ெய்= மி ச் சிறந் தெய்,va va ey= mi ch chiRan they,Very Good Ghee,dairy products,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1078,VPS2024,மீ மீ ர் ஆ= கமைொளர் ஆ,mii mii r aa= kamaioLar aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1088,VPS2024,வ வய ைொ ள ன்,va vaya aio La n,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1094,VPS2024,மீ மீ ண்ணல் வ்யமூன்=கமைொன அண்ணல் பொல்,mii mii NNal vyamuun=kamaiona aNNal pol,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1098,VPS2024,மீ மீ இள ய்யொ ஆ,mii mii iLa yyo aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1102,VPS2024,ண்ணி,NNi,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1102,VPS2024,ண்ண(ீர்),NNa(iir),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1105,VPS2024,"வ "" பன்னிரு வண ள வ்யமூன்","va "" panniru vaNa La vyamuun",,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1105,VPS2024,வ வ பன்னிரு வன ண்ணல் பொல்,va va panniru vana NNal pol,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1109,VPS2024,வ' இளைொ ஆக்( ள்),va' iLaio aak( L),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1110,VPS2024,வ சம ள வ ண்ண(ல்),va chama La va NNa(l),Equanimous respected great leader,governance,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1114,VPS2024,வ வ இருளட்ை ஆ ( வ ொரி மொடு),va va iruLatai aa ( va ori motu),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1116,VPS2024,மூ(த் ) வ(த் ர்) ய் (உலைய) (6-அன் உருபு) ஆ ண(ய்),muu(th ) va(th r) y (ulaiya) (6-an urupu) aa Na(y),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1120,VPS2024,ொரி மொடு,ori motu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1121,VPS2024,இைம இைம வய(ல்) ொவ(ல்),iaima iaima vaya(l) ova(l),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1127,VPS2024,வ ீ வித் ொவ்வ= கமைொன வித்து ொவல்,va ii vith ovva= kamaiona viththu oval,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1129,VPS2024,சிவ ை மூ ஆ ொவ்வ; ை-6-அன் உருபு,chiva ai muu aa ovva; ai-6-an urupu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1133,VPS2024,"ெ ய் = தெய் (மு, மூ கபொை ெ, ெொ பயனில்)","e y = they (mu, muu kapoai e, eo payanil)",,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1143,VPS2024,மி ச் சிறந் தெய்,mi ch chiRan they,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1143,VPS2024,ெ ய் = தெய்,e y = they,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1147,VPS2024,வய இல்ைம் வ்யமூன்= வயல் வட்ீ டுப் பொல்,vaya ilaim vyamuun= vayal vatii tup pol,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1150,VPS2024,ணொய் அரச ஆ= அரச ஆ ெய்,Noy aracha aa= aracha aa ey,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1156,VPS2024,(இ)ை ழன் பன்னிரு ஆ,(i)ai zhan panniru aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1158,VPS2024,மீ மீ இள(ம்) சொ ண,mii mii iLa(m) cho Na,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1159,VPS2024,இை இை அய் ெ ய் =இவ்விைம் சிறந் தெய்,iai iai ay e y =ivviaim chiRan they,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1168,VPS2024,ஓ வ்யமூன் = சிறந் பொல்,oo vyamuun = chiRan pol,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1170,VPS2024,ை ழ வ்யமூன்,ai zha vyamuun,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1171,VPS2024,சிறந் ஆ ொவ்வ(ன்),chiRan aa ovva(n),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1182,VPS2024,ண் அய் க ொயில் எறும்ப = ண் அய்யன்,N ay ka oyil eRumpa = N ayyan,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1199,VPS2024,இளம ஆ,iLama aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1220,VPS2024,எருது,eruthu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1228,VPS2024,மீ மீ க ொழி (ஊர்) ஆ ொவ்வ,mii mii ka ozhi (uur) aa ovva,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1229,VPS2024,மீ மீ ெய்,mii mii ey,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1232,VPS2024,மீ மீ ளொர் ஆ,mii mii Lor aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1235,VPS2024,ை இல் ைொ ைன்,ai il aio ain,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1237,VPS2024,மயில் ய்யொ ஆ,mayil yyo aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1274,VPS2024,மீ மீ க ொயில் ண் அல்,mii mii ka oyil N al,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1275,VPS2024,[வய(து)] மூ ை ஆ,[vaya(thu)] muu ai aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1287,VPS2024,ஓர் ஆ ொவ்வ,oor aa ovva,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1314,VPS2024,சண்ணொ ஆறுளன்,chaNNo aaRuLan,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1326,VPS2024,மீ மீ ை இள(ம்) பொல்,mii mii ai iLa(m) pol,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1335,VPS2024,வ ை சங் ஆ (சிறந் தவள்லள ஆ),va ai chang aa (chiRan thavaLlaLa aa),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1339,VPS2024,மூ வ ல ஆ,muu va la aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1341,VPS2024,வ ண்ணொ ஆ,va NNo aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1344,VPS2024,"வ "" ஏழு (இள)ஞொன் ஆ","va "" eezhu (iLa)nyon aa",,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1345,VPS2024,வ ை இள ை வ்யமூன்,va ai iLa ai vyamuun,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1348,VPS2024,வ ை ெ ள ன்,va ai e La n,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1350,VPS2024,இள ை சொ ண ண் (ண ர ம ர மயக் ம்),iLa ai cho Na N (Na ra ma ra mayak m),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1373,VPS2024,வ ை ெளன் இரு ைொ ரின் ஆ,va ai eLan iru aio rin aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1374,VPS2024,இள ண்ண ஆ,iLa NNa aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1386,VPS2024,மீ மீ வ ஆக்( ள்) த ொழு (Zebu cattle shed),mii mii va aak( L) tha ozhu (Zebu cattle shed),Very Good Zebu Shed,animal husbandry,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1387,VPS2024,மீ மீ வ ை ள ன் த ொழு,mii mii va ai La n tha ozhu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1407,VPS2024,வ ண்(ண) ய் ஆ,va N(Na) y aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1414,VPS2024,இள வய(து) மூ-பன்னிரு (36) ஆ,iLa vaya(thu) muu-panniru (36) aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1427,VPS2024,ய் ெ ர் = ெய்க் ர்= தெய்க் ொரர்,y e r = eyk r= theyk orar,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1447,VPS2024,ம ைொ ை சொ ண =குவிக் ப்பட்ை சொணம்,ma aio ai cho Na =kuvik ppatai choNam,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1456,VPS2024,மீ மீ ை வய(து) மூ(த் ) ச ண= சிறந் மூத் சொணம்,mii mii ai vaya(thu) muu(th ) cha Na= chiRan muuth choNam,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1466,VPS2024,மீ மீ க ொயில் ஏழு ஆ,mii mii ka oyil eezhu aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1533,VPS2024,சொ ண(ம்),cho Na(m),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1534,VPS2024,மூப மூப்ப ைொ ள ன் த ொழுவம்,muupa muuppa aio La n tha ozhuvam,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1551,VPS2024,மீ மீ இரு ள ன்,mii mii iru La n,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1561,VPS2024,க ொயில் மலை ஆ,ka oyil malai aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1628,VPS2024,பக் ம் 1- ள வ்வ இரு ஆ,pak m 1- La vva iru aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1628,VPS2024,பக் ம் 2- ள ம ச ண,pak m 2- La ma cha Na,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1707,VPS2024,க ொயில் இை ஆ,ka oyil iai aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1708,VPS2024,க ொயில் இை ண்ண ஆ,ka oyil iai NNa aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1771,VPS2024,வன ை ளொர் ஆ,vana ai Lor aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
1801,VPS2024,வண்ண ை ளொர் ஆ,vaNNa ai Lor aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2014,VPS2024,ஆ த ொழு,aa tha ozhu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2015,VPS2024,வ்யமூன் = பொல்,vyamuun = pol,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2056,VPS2024,வ வ ண ை ன ய்யொ,va va Na ai na yyo,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2057,VPS2024,மீ மீ ஓர் ண் ஆ (ஆ தெடில் குறி),mii mii oor N aa (aa thetil kuRi),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2059,VPS2024,மீ மீ சொ ண,mii mii cho Na,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2060,VPS2024,மீ மீ சொ ண,mii mii cho Na,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2061,VPS2024,ஆமு ண் ண(ல்),aamu N Na(l),,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2068,VPS2024,மீ மி ழ ட்ைள் ஆ க்=,mii mi zha taiL aa k=,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2069,VPS2024,வ வ வவண் வ ஓணொள் ஆ ப,va va vavaN va ooNoL aa pa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2081,VPS2024,மீ மீ வய ைொ ள ன்,mii mii vaya aio La n,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2082,VPS2024,சிவ மூ ஆ ொவ்வ,chiva muu aa ovva,Carer of Isa's 3 cows,animal husbandry,complete,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2086,VPS2024,ம யன் அய் வன ம ஆ த ொழு,ma yan ay vana ma aa tha ozhu,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2096,VPS2024,ண்ன அவ் வர ண்ண வ்வ ய்யொ ஆ,Nna av vara NNa vva yyo aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2097,VPS2024,க ொயில் இை மூ ை ஆ,ka oyil iai muu ai aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2104,VPS2024,வய ைொ ளர் ஆ,vaya aio Lar aa,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2113,VPS2024,அய் ஆ ொவ்வ,ay aa ovva,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
2123,VPS2024,வ்ய ை ைொ வ்யமுன்,vya ai aio vyamun,,,pending,0.68,INDUS_SEALS_READ_in_book_5.pdf (author direct upload)
